;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;9136;0;126;481;421;486;200;481;60;507;89;129;900;0;107
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;146;0;3057;728;89;183;394;84;125;223;204;625;86;0;56
wooded areas;918;0;644;11291;126;604;550;291;107;501;304;243;96;0;325
mining areas, landfills, construction sites and artificial and abandoned land;1182;0;662;208;3981;971;261;2507;687;1207;158;409;434;0;322
non-agricultural artificial green areas;908;0;422;834;1047;7978;573;2603;280;1085;546;531;70;0;1956
permanent crops;249;0;462;342;129;454;6742;257;128;542;422;38;20;0;215
production, commercial, public and private service establishments, networks and infrastructural areas;1250;0;303;559;1592;2269;352;17769;202;1151;241;41;66;0;1982
stable meadows;26;0;126;78;22;80;52;46;682;592;209;58;0;0;29
arable land;134;0;106;101;249;431;545;389;309;5117;307;33;37;0;242
heterogeneous agricultural areas;128;0;327;455;173;833;504;321;442;822;1426;24;14;0;531
open areas with sparse or absent vegetation;96;0;377;325;205;92;17;53;42;63;21;3371;0;0;35
internal wetlands;364;0;280;141;70;85;23;51;5;77;34;9;1116;0;2
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;63;0;23;110;141;773;118;1409;41;207;162;27;2;0;4924
