;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;9854;0;46;612;597;284;138;458;0;329;0;65;740;0;0
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;144;0;3060;743;136;129;585;77;0;480;0;580;66;0;0
wooded areas;780;0;465;12127;117;432;558;348;0;866;0;191;116;0;0
mining areas, landfills, construction sites and artificial and abandoned land;1635;0;317;282;5498;1058;231;2464;0;1061;0;146;297;0;0
non-agricultural artificial green areas;886;0;346;782;1046;10398;417;3022;0;1571;0;326;39;0;0
permanent crops;298;0;253;373;69;609;7370;221;0;754;0;31;22;0;0
production, commercial, public and private service establishments, networks and infrastructural areas;1259;0;87;599;1935;2798;244;19521;0;1180;0;49;105;0;0
stable meadows;23;0;76;58;25;93;94;50;0;1554;0;26;1;0;0
arable land;141;0;45;123;260;598;737;366;0;5698;0;15;17;0;0
heterogeneous agricultural areas;153;0;260;439;240;1226;678;387;0;2599;0;11;7;0;0
open areas with sparse or absent vegetation;55;0;169;195;173;57;24;79;0;74;0;3871;0;0;0
internal wetlands;432;0;211;181;137;30;32;23;0;67;0;3;1141;0;0
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;85;0;9;121;197;1338;89;5739;0;412;0;8;2;0;0
