;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;9110;0;124;527;603;446;177;718;19;425;62;95;739;0;78
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;124;0;3096;795;121;189;443;122;99;174;164;594;41;0;38
wooded areas;764;0;587;11662;135;499;524;417;108;500;263;275;63;0;203
mining areas, landfills, construction sites and artificial and abandoned land;1294;0;683;231;4537;906;194;2840;138;1091;148;252;413;0;262
non-agricultural artificial green areas;781;0;388;918;1154;8802;463;3020;172;913;421;247;51;0;1503
permanent crops;288;1;363;397;98;804;6734;292;92;405;294;51;11;0;170
production, commercial, public and private service establishments, networks and infrastructural areas;1281;1;245;599;1832;2427;271;18032;79;913;252;51;51;0;1743
stable meadows;21;0;109;76;27;112;62;64;609;610;252;26;0;0;32
arable land;145;0;137;133;299;505;568;467;288;4970;258;32;18;1;179
heterogeneous agricultural areas;160;0;328;444;225;922;497;433;333;765;1348;40;20;0;485
open areas with sparse or absent vegetation;45;0;304;281;251;28;34;87;37;47;15;3510;1;0;57
internal wetlands;499;0;295;153;153;37;21;56;8;40;13;9;970;0;3
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;70;0;36;116;210;969;85;1444;26;183;126;8;2;0;4725
