;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;9296;0;102;485;493;354;184;504;57;397;72;81;1006;0;92
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;119;0;3188;774;92;153;379;90;147;222;185;559;57;0;35
wooded areas;824;0;619;11472;106;473;674;313;129;526;363;211;65;0;225
mining areas, landfills, construction sites and artificial and abandoned land;1311;0;665;289;4247;1055;173;2834;292;1065;202;222;380;0;254
non-agricultural artificial green areas;865;0;385;745;994;8690;397;2699;219;1032;427;441;36;0;1903
permanent crops;265;0;382;436;136;543;6576;145;147;627;495;43;34;0;171
production, commercial, public and private service establishments, networks and infrastructural areas;1159;0;213;490;1645;2071;432;18572;109;927;254;43;31;0;1831
stable meadows;13;0;99;68;22;65;36;49;658;670;236;46;2;0;36
arable land;102;0;82;119;173;354;637;381;339;5242;315;23;33;0;200
heterogeneous agricultural areas;118;0;301;447;145;834;517;292;368;958;1484;32;3;0;501
open areas with sparse or absent vegetation;56;0;363;306;201;89;14;82;35;44;19;3465;0;0;23
internal wetlands;430;0;282;171;144;39;29;38;9;76;25;4;1007;0;3
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;66;0;18;108;147;838;71;1459;22;141;163;13;2;0;4952
