;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;9725;0;129;516;472;322;168;596;15;271;42;87;667;0;113
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;116;0;3162;788;118;234;465;99;106;155;166;507;32;0;52
wooded areas;709;0;589;11967;130;507;510;339;101;404;228;153;50;0;313
mining areas, landfills, construction sites and artificial and abandoned land;1347;0;572;231;5053;973;170;2765;222;766;95;211;283;0;301
non-agricultural artificial green areas;717;0;418;850;1099;9361;306;2740;143;786;382;314;31;0;1686
permanent crops;261;0;387;399;102;807;6642;260;85;477;361;23;16;0;180
production, commercial, public and private service establishments, networks and infrastructural areas;1087;0;179;570;1626;2461;358;18846;51;621;126;35;33;0;1784
stable meadows;15;0;100;72;26;100;58;60;705;597;218;23;0;0;26
arable land;122;0;151;119;265;508;431;419;301;5227;253;15;10;0;179
heterogeneous agricultural areas;123;0;271;406;211;1026;550;417;282;696;1499;19;1;0;499
open areas with sparse or absent vegetation;56;0;393;297;265;11;28;65;53;44;19;3416;0;0;50
internal wetlands;476;0;305;129;143;34;17;50;9;72;19;3;997;0;3
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;51;0;16;112;132;880;73;1558;27;132;143;5;0;0;4871
