;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;9630;0;126;517;378;430;202;438;41;416;64;82;701;0;98
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;135;0;3240;738;85;147;466;92;147;190;200;468;53;0;39
wooded areas;875;0;616;11568;111;466;559;324;106;487;333;221;79;0;255
mining areas, landfills, construction sites and artificial and abandoned land;1360;0;711;227;4056;1156;219;2722;515;1067;229;160;315;0;252
non-agricultural artificial green areas;880;0;430;914;935;8553;412;2719;183;993;450;346;38;0;1980
permanent crops;197;0;358;437;159;414;6881;217;83;598;381;30;20;0;225
production, commercial, public and private service establishments, networks and infrastructural areas;1192;0;143;549;1512;2377;287;18494;262;834;208;22;25;0;1872
stable meadows;12;0;116;77;23;84;46;49;667;630;220;42;0;0;34
arable land;109;0;107;132;274;459;596;393;342;5116;264;27;14;0;167
heterogeneous agricultural areas;102;0;359;463;190;824;496;327;401;870;1369;21;33;0;545
open areas with sparse or absent vegetation;61;0;405;325;180;40;7;109;49;43;29;3429;0;0;20
internal wetlands;381;0;283;173;97;34;25;51;6;106;44;12;1042;0;3
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;60;0;22;108;139;819;94;1430;36;153;128;8;0;0;5003
