;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;9321;0;111;503;497;355;155;694;33;426;95;125;728;0;80
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;137;0;3136;713;106;193;430;139;92;175;204;590;61;0;24
wooded areas;868;0;614;11470;161;479;614;440;117;470;286;198;68;0;215
mining areas, landfills, construction sites and artificial and abandoned land;1551;1;621;238;4499;1032;213;2778;215;894;219;254;250;1;223
non-agricultural artificial green areas;812;0;385;799;1191;8683;413;3251;181;1004;404;278;37;0;1395
permanent crops;301;0;332;392;115;684;6730;345;90;407;403;56;17;0;128
production, commercial, public and private service establishments, networks and infrastructural areas;1196;0;145;567;1760;2378;342;18076;77;997;288;50;48;0;1853
stable meadows;14;0;105;75;25;111;66;67;638;581;246;39;3;0;30
arable land;120;0;64;113;281;494;581;510;343;5038;283;17;21;0;135
heterogeneous agricultural areas;135;0;395;431;255;961;529;471;316;678;1405;19;19;1;385
open areas with sparse or absent vegetation;61;0;256;252;240;30;12;74;31;46;27;3617;3;0;48
internal wetlands;523;0;298;191;142;25;34;57;9;38;28;10;897;0;5
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;63;0;28;118;166;921;77;1473;26;174;167;7;0;0;4780
