;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;9131;0;150;484;508;423;170;513;48;478;109;110;888;0;111
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;121;0;3093;659;92;217;473;91;131;237;216;547;76;0;47
wooded areas;1060;0;707;11135;160;484;573;288;133;497;340;203;117;0;303
mining areas, landfills, construction sites and artificial and abandoned land;1275;0;563;286;3893;1068;264;2778;466;1139;180;362;433;0;282
non-agricultural artificial green areas;921;0;389;692;995;8097;522;2664;374;1079;634;473;38;0;1955
permanent crops;261;0;361;391;102;432;6683;315;123;602;399;76;28;0;227
production, commercial, public and private service establishments, networks and infrastructural areas;1293;0;251;543;1723;2200;244;17716;147;1129;332;42;53;0;2104
stable meadows;12;0;99;75;21;64;62;59;683;606;237;37;1;0;44
arable land;130;0;60;130;232;430;635;395;349;5023;271;44;27;0;274
heterogeneous agricultural areas;193;0;339;438;253;776;469;328;397;767;1445;28;8;0;559
open areas with sparse or absent vegetation;46;0;405;369;234;50;21;41;76;41;20;3367;0;0;27
internal wetlands;322;0;289;136;129;58;32;33;33;94;37;10;1083;0;1
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;85;0;30;112;191;824;94;1343;42;181;142;14;1;0;4941
