;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;9133;0;158;502;449;346;243;556;70;246;77;172;1076;0;95
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;150;0;3043;717;105;161;435;130;89;171;187;689;79;0;44
wooded areas;827;0;787;11281;132;548;539;332;164;357;390;297;116;0;230
mining areas, landfills, construction sites and artificial and abandoned land;1451;0;526;282;4034;1062;301;2897;381;871;256;303;318;0;307
non-agricultural artificial green areas;1031;0;499;761;805;8453;518;2999;270;724;531;500;71;0;1671
permanent crops;302;0;391;429;101;642;6678;298;171;387;361;65;9;0;166
production, commercial, public and private service establishments, networks and infrastructural areas;1362;0;247;563;1760;2315;309;17969;158;777;262;55;74;0;1926
stable meadows;25;0;112;84;25;82;62;77;689;539;235;28;1;0;41
arable land;155;0;127;132;291;501;618;541;391;4628;328;27;33;0;228
heterogeneous agricultural areas;208;0;323;396;254;949;640;381;384;548;1337;33;9;0;538
open areas with sparse or absent vegetation;77;0;266;238;240;25;17;96;32;45;22;3587;1;0;51
internal wetlands;479;0;293;152;95;26;43;55;9;55;16;11;1018;0;5
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;86;0;31;129;172;906;122;1465;32;141;155;10;3;0;4748
