;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;9339;0;54;567;658;364;150;703;11;338;53;121;725;0;40
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;113;0;3125;823;123;223;441;111;41;124;174;618;59;0;25
wooded areas;833;0;400;11960;143;453;555;407;59;404;264;201;107;0;214
mining areas, landfills, construction sites and artificial and abandoned land;1564;0;325;287;4924;1227;189;2766;99;764;106;175;353;0;210
non-agricultural artificial green areas;910;0;459;856;1091;9569;365;2941;88;628;396;326;35;0;1169
permanent crops;272;0;307;490;128;748;6741;251;69;411;368;46;16;0;153
production, commercial, public and private service establishments, networks and infrastructural areas;1167;0;132;672;1679;2177;301;19010;53;765;180;48;56;0;1537
stable meadows;32;0;111;76;27;108;78;58;582;566;290;42;0;0;30
arable land;130;0;96;118;382;427;626;422;260;5074;272;19;32;0;142
heterogeneous agricultural areas;121;0;318;467;251;985;497;383;260;599;1694;19;8;0;398
open areas with sparse or absent vegetation;29;0;241;336;212;36;11;77;12;32;10;3677;0;0;24
internal wetlands;428;0;228;205;187;25;19;30;1;56;29;6;1043;0;0
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;74;0;31;122;145;1010;75;1487;10;154;136;8;2;0;4746
