;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;9266;0;118;509;686;404;164;622;14;288;59;94;784;0;115
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;114;0;3402;719;95;222;378;99;122;151;143;455;61;0;39
wooded areas;768;0;676;11583;154;498;574;386;79;460;282;163;65;0;312
mining areas, landfills, construction sites and artificial and abandoned land;1365;0;567;244;5066;1023;174;2736;233;715;112;209;262;0;283
non-agricultural artificial green areas;813;0;446;898;1273;8979;318;2891;196;726;311;200;23;0;1759
permanent crops;228;0;360;433;73;713;6973;169;76;378;377;9;8;0;203
production, commercial, public and private service establishments, networks and infrastructural areas;1020;0;208;566;1619;2187;287;18879;69;617;200;26;43;0;2056
stable meadows;17;0;111;72;15;90;68;64;605;643;246;19;2;0;48
arable land;112;0;101;110;247;445;517;491;305;5162;273;10;13;0;214
heterogeneous agricultural areas;109;0;336;427;218;1054;506;389;273;707;1335;17;8;0;621
open areas with sparse or absent vegetation;58;0;416;277;219;30;15;77;55;45;17;3454;0;0;34
internal wetlands;412;0;289;162;148;42;34;46;4;44;14;9;1049;0;4
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;52;0;14;102;160;857;77;1382;26;107;143;3;0;0;5077
