;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;10038;0;50;546;570;280;191;481;0;206;89;2;636;0;34
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;148;0;3271;1121;133;175;547;61;0;182;292;1;46;0;23
wooded areas;1016;0;363;12051;181;401;778;186;0;362;418;0;80;0;164
mining areas, landfills, construction sites and artificial and abandoned land;1531;0;222;442;5193;1125;243;2753;0;744;269;0;263;0;204
non-agricultural artificial green areas;843;0;385;1074;1233;9865;405;2215;0;644;838;1;20;0;1310
permanent crops;285;0;256;513;173;698;6833;182;0;356;613;0;12;0;79
production, commercial, public and private service establishments, networks and infrastructural areas;1174;0;84;621;1762;2567;217;18219;0;745;450;0;50;0;1888
stable meadows;18;0;85;70;32;95;94;39;0;1190;354;0;0;0;23
arable land;130;0;50;123;188;452;798;311;0;5272;506;0;19;0;151
heterogeneous agricultural areas;146;0;215;386;187;1028;624;231;0;730;2120;0;1;0;332
open areas with sparse or absent vegetation;64;0;510;3636;234;61;45;55;0;57;25;0;0;0;10
internal wetlands;545;0;213;191;123;40;27;32;0;25;39;0;1022;0;0
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;84;0;7;101;154;928;68;804;0;144;263;0;0;0;5447
