;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;9159;0;134;516;561;469;203;485;53;233;72;168;1003;0;67
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;153;0;3316;646;88;143;386;99;94;126;165;639;90;0;55
wooded areas;898;0;691;11217;154;395;680;359;128;337;397;243;171;0;330
mining areas, landfills, construction sites and artificial and abandoned land;1256;0;712;166;4142;993;392;2658;408;836;133;415;631;0;247
non-agricultural artificial green areas;949;0;496;917;958;8267;466;2601;196;842;771;608;57;0;1705
permanent crops;265;0;468;421;134;359;6969;276;77;367;394;41;28;0;201
production, commercial, public and private service establishments, networks and infrastructural areas;1347;0;257;718;1727;2921;353;17383;91;640;346;64;58;0;1872
stable meadows;24;0;138;59;21;87;66;81;622;561;237;59;3;0;42
arable land;175;0;156;145;319;503;507;380;318;4913;316;20;43;0;205
heterogeneous agricultural areas;248;0;403;402;263;746;628;373;292;612;1473;37;11;0;512
open areas with sparse or absent vegetation;55;0;386;195;207;31;19;58;24;30;29;3626;0;0;37
internal wetlands;405;0;261;170;64;49;37;43;20;29;44;11;1124;0;0
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;98;0;46;141;189;883;125;1428;33;133;189;14;0;0;4721
