;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;9529;0;128;483;463;431;195;482;28;192;77;129;884;0;102
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;146;0;3137;632;95;200;581;72;165;106;186;552;77;0;51
wooded areas;778;0;683;11389;176;514;626;323;113;258;425;276;126;0;313
mining areas, landfills, construction sites and artificial and abandoned land;1262;0;811;183;3926;1456;300;2524;556;751;111;392;431;0;286
non-agricultural artificial green areas;1036;0;420;887;1073;8353;689;2362;166;882;774;409;29;0;1753
permanent crops;292;0;371;396;119;539;7045;182;105;319;401;32;9;0;190
production, commercial, public and private service establishments, networks and infrastructural areas;1301;0;293;527;1924;2851;278;17278;100;720;369;47;71;0;2018
stable meadows;19;0;118;58;25;94;82;51;692;532;250;32;2;0;45
arable land;172;0;162;103;325;465;649;365;343;4829;295;26;41;0;225
heterogeneous agricultural areas;188;0;439;328;264;741;724;376;382;618;1333;31;4;0;572
open areas with sparse or absent vegetation;75;0;401;248;225;51;26;71;51;22;26;3449;1;0;51
internal wetlands;444;0;316;138;66;69;29;56;13;30;17;13;1060;0;6
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;98;0;33;127;207;971;109;1407;33;121;205;7;1;0;4681
