;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;8975;0;177;544;504;418;237;656;57;214;74;139;1019;0;109
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;130;0;3097;718;104;158;450;137;150;152;173;641;41;0;49
wooded areas;794;0;880;11247;165;497;665;348;148;339;271;234;142;0;270
mining areas, landfills, construction sites and artificial and abandoned land;1210;0;769;335;4281;1038;262;2620;177;881;144;522;448;0;302
non-agricultural artificial green areas;1092;0;472;804;878;8786;520;2851;253;728;400;379;37;0;1633
permanent crops;276;0;343;416;127;527;6800;284;128;390;446;46;26;0;191
production, commercial, public and private service establishments, networks and infrastructural areas;1294;0;152;627;1899;2441;380;17816;159;617;296;67;67;0;1962
stable meadows;21;0;106;60;26;87;69;58;649;594;259;36;0;0;35
arable land;158;0;93;130;302;465;714;440;361;4744;243;35;35;0;280
heterogeneous agricultural areas;175;0;286;371;256;916;676;361;360;538;1518;22;13;0;508
open areas with sparse or absent vegetation;47;0;324;265;303;36;26;43;63;51;19;3464;0;0;56
internal wetlands;362;0;306;135;94;61;31;52;5;53;21;8;1121;0;8
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;80;0;32;112;191;932;123;1569;41;138;139;11;1;0;4631
