;continental waters;maritime waters;environments with evolving shrubby and/or herbaceous vegetation;wooded areas;mining areas, landfills, construction sites and artificial and abandoned land;non-agricultural artificial green areas;permanent crops;production, commercial, public and private service establishments, networks and infrastructural areas;stable meadows;arable land;heterogeneous agricultural areas;open areas with sparse or absent vegetation;internal wetlands;maritime wetlands;urbanized areas
continental waters;9174;0;72;536;526;384;182;864;3;311;74;104;837;0;56
maritime waters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
environments with evolving shrubby and/or herbaceous vegetation;103;0;3135;762;98;204;494;107;57;174;165;608;72;0;21
wooded areas;885;0;436;11966;151;426;589;345;51;490;259;184;49;0;169
mining areas, landfills, construction sites and artificial and abandoned land;1292;0;369;279;5214;1181;153;2723;89;863;121;209;284;0;212
non-agricultural artificial green areas;782;0;303;851;1046;9916;341;2711;62;878;418;288;37;0;1200
permanent crops;237;0;343;431;106;693;6940;244;67;383;383;46;15;0;112
production, commercial, public and private service establishments, networks and infrastructural areas;1020;0;142;668;1751;2261;262;18752;47;822;241;50;62;0;1699
stable meadows;18;0;86;67;23;104;84;53;563;640;288;43;0;0;31
arable land;122;0;54;118;258;511;720;418;250;5005;357;25;39;0;123
heterogeneous agricultural areas;138;0;268;437;205;1161;571;338;199;650;1664;13;10;0;346
open areas with sparse or absent vegetation;34;0;225;264;183;56;26;50;7;41;14;3753;0;0;44
internal wetlands;463;0;265;185;107;52;25;53;2;74;18;10;1003;0;0
maritime wetlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urbanized areas;57;0;21;127;130;962;75;1369;16;147;152;7;1;0;4936
