;water environment;humid environment;agricultural territories;wooded territories and semi-natural environments;artificially modeled territories
water environment;9219;698;622;775;1809
humid environment;501;989;94;430;243
agricultural territories;517;29;18959;1892;4603
wooded territories and semi-natural environments;1061;90;2371;21039;2136
artificially modeled territories;3344;293;4914;3005;56043
