;water environment;humid environment;agricultural territories;wooded territories and semi-natural environments;artificially modeled territories
water environment;9123;1075;640;835;1450
humid environment;477;1015;126;458;181
agricultural territories;675;49;18026;2133;5117
wooded territories and semi-natural environments;1043;197;2464;20906;2087
artificially modeled territories;3886;462;5789;3887;53575
