;water environment;humid environment;agricultural territories;wooded territories and semi-natural environments;artificially modeled territories
water environment;9522;883;498;734;1486
humid environment;443;1060;88;468;198
agricultural territories;659;56;18614;2086;4585
wooded territories and semi-natural environments;987;204;2593;20764;2149
artificially modeled territories;3661;531;6149;4102;53156
