;water environment;humid environment;agricultural territories;wooded territories and semi-natural environments;artificially modeled territories
water environment;8959;840;621;709;1994
humid environment;441;1001;131;458;226
agricultural territories;443;61;18880;1820;4796
wooded territories and semi-natural environments;950;115;2479;21164;1989
artificially modeled territories;2914;376;4664;3134;56511
