;water environment;humid environment;agricultural territories;wooded territories and semi-natural environments;artificially modeled territories
water environment;8964;1019;581;862;1697
humid environment;361;1121;110;449;216
agricultural territories;621;73;18530;1921;4855
wooded territories and semi-natural environments;957;182;2512;20870;2176
artificially modeled territories;3630;553;5251;4261;53904
