;water environment;humid environment;agricultural territories;wooded territories and semi-natural environments;artificially modeled territories
water environment;8548;1099;585;800;2091
humid environment;389;1066;126;449;227
agricultural territories;563;59;18388;1888;5102
wooded territories and semi-natural environments;1084;154;2499;20523;2437
artificially modeled territories;3470;322;5002;3752;55053
