;water environment;humid environment;agricultural territories;wooded territories and semi-natural environments;artificially modeled territories
water environment;9956;632;517;628;1390
humid environment;541;1005;99;417;195
agricultural territories;526;28;19539;1685;4222
wooded territories and semi-natural environments;1146;112;2736;21010;1693
artificially modeled territories;3472;313;5074;3018;55722
