;water environment;humid environment;agricultural territories;wooded territories and semi-natural environments;artificially modeled territories
water environment;9072;643;728;773;1907
humid environment;412;996;137;454;258
agricultural territories;489;42;18290;1831;5348
wooded territories and semi-natural environments;852;101;2767;20678;2299
artificially modeled territories;2990;583;5113;2752;56161
